Code,Meaning
EXP,- EXPEDITE (RESPOND QUICKLY)
"FB,FBED",- FLATBED TOW TRUCK
FD,- FIRE DEPARTMENT
FIRE,- FIRE DEPARTMENT
FRCC,- FRESNO COMM CENTER
FRWY/FWY,- FREEWAY
FSP,- FREEWAY SERVICE PATROL
FT,- FLAT TIRE
FTY,- FAILURE TO YIELD
FU,- FOLLOW UP
FYI,- FOR YOUR INFORMATION
GGCC,- GOLDEN GATE COMMUNICATIONS CENTER
GOA,- GONE ON ARRIVAL (IT'S NOT THERE)
GP,- GORE POINT
GRN,- GREEN
GS,- GOOD SPARE
HB,- HATCHBACK
HFA,- HISPANIC-FEMALE-ADULT
HFJ,- HISPANIC-FEMALE-JUVENILE
HMA,- HISPANIC-MALE-ADULT
HMJ,- HISPANIC-MALE-JUVENILE
HOV,- HIGH OCCUPANCY VEHICLE (CAR POOL)
HV,- HIGHWAY VIOLENCE
HWY,- HIGHWAY
I,- INTERSTATE - (IE - I15)
IFO,- IN FRONT OF
INCC,- INLAND COMMUNICATION CENTER
INJ,- INJURY
I/O,- IN AND OUT
INS,- IMMIGRATION AND NATURALIZATION SERVICE
INV,- INVOLVED
"IS, I/S",- INTERSECTION
JEO,- JUST EAST OF
JNO,- JUST NORTH OF
JSO,- JUST SOUTH OF
"JUVI,JUVIE",- JUVENILE
JWO,- JUST WEST OF
K9,- CANINE - POLICE DOG - UNIT WITH A DOG
LACC,- LOS ANGELES COMMUNICATION CENTER
LHS,- LEFT HAND SHOULDER
LIC,- LICENSE
LL,- LANDLINE
L/M,- LEFT MESSAGE
LN,- LANE
LS,- LAST SEEN
LSW,- LAST SEEN WEARING
LZ,- LANDING ZONE
MAR,- MAROON
MAZEEP,- OFFICER WORKING A MAINTENANCE PROJECT
"MC, M/C",- MOTORCYCLE
MCC,- MERCED COMM CENTER
MED,- MEDICAL
MIO,- MEDIA INFORMATION OFFICER - CHP
MLK,- MARTIN LUTHER KING JR (ABBREVIATION FOR STREET NAME OR ROADWAY)
MM,- MILE MARKER
MP,- MILITARY POLICE
MPM,- MILE POST MARKER
MRE,- MOBILE ROAD ENFORCEMENT
MSG,- MESSAGE
MT,- MOUNTAIN OR MOUNT
NA,- NO ANSWER - OR - NOT AVAILABLE - OR- NOT APPLICABLE
NB,- NORTH BOUND
NFD,- NO FURTHER DETAILS
NFI,- NO FURTHER INFORMATION
NLT,- NO LATER THAN
NLL,- NO LONGER LAND LINE
"NR,N/R",- NO RESPONSE
NS,- NO SPARE
O/,- OVER
"OC, O/C",- OVER CROSSING
OCC,- OCCURRED OR OCCUPANTS
OCCC,- ORANGE COUNTY COMMUNICATION CENTER
OES,- OFFICE OF EMERGENCY SERVICES
OFR,- OFF RAMP
OIC,- OFFICER OR OPERATOR IN CHARGE
ONG,- ORANGE
ONR,- ON RAMP
OOG,- OUT OF GAS
OOP,- OUT OF POSITION (TOO FAR AWAY TO RESPOND)
"OT, O/T",- OVERTURNED
OTS,- OVER THE SIDE
O'SIDE,"- OVER THE SIDE, OR OUTSIDE"
O/X,- OVERCROSSING
PARK,- PARKING PROBLEM
PC,- PROBABLE CAUSE - OR - PENAL CODE
PD,- POLICE DEPARTMENT
PED,- PEDESTRIAN
PIT,- PURSUIT IMMOBILIZATION TECHNIQUE
PK,- PICK-UP TRUCK
PKWY,- PARKWAY
PIO,- PUBLIC INFORMATION OFFICER
"PLS,PLZ",- PLEASE
PLT,- PLATE
POE,- PORT OF ENTRY (THE border)
POI,- POINT OF IMPACT
PORT,- PORT OF ENTRY (THE border)
POSS,- POSSIBLE - OR - POSSESSION
PT,- POINT (EX: GORE POINT)
PU,- PICK-UP TRUCK
RDCC,- REDDING COMMUNICATIONS CENTER
R,- RESIDENCE (HOME)
RD,- ROAD
"RDW,RDWY",- ROADWAY
"RE, RE:",- REGARDING
REF,- REFERENCE
REQ,- REQUEST - OR - REQUIRED
RESP,- RESPONDING
"RP,R/P",- REPORTING PARTY - OR - RESPONSIBLE PARTY
RO,- REGISTERED OWNER
"RS,R/S",- RIGHT SHOULDER
RHS,- RIGHT HAND SHOULDER
SAG,- SAFETY ADMONISHMENT GIVEN
SB,- SOUTH BOUND
"SD, SDN",- SEDAN (4 DOOR CAR)
SEMI,#VALUE!
"SO, S/O",- SHERIFF'S DEPARTMENT
SR- (#),- STATE ROUTE
SUBCHK,"- SUBJECT CHECK (WARRANTS, ETC.)"
SUBJ,- SUBJECT
SUSP,- SUSPECT - OR - SUSPICIOUS
SUSCIRC,- SUSPICIOUS CIRCUMSTANCES
SV,- SUSPECT VEHICLE
"TC, T/C",- TRAFFIC COLLISION
THX,- THANKS
TK,- TRUCK
TMC,- TRANSPORTATION MANAGEMENT CENTER
TRANS,- TRANSITION ROAD
TRANS TO,- TRANSITION ROAD
TRK,- TRUCK
TRKTRL,- TRUCK TRAIL (A BACK COUNTRY ROAD)
TRKTRLR,- TRUCK TRAILER
TRLR,- TRAILER
TRNSFR,- TRANSFERRED
UA,- UNIT ADVISED
UI,- UNIT INFORMED
"UC, U/C",- UNDER CROSSING
UNK,- UNKNOWN
USFS,- UNITED STATES FOREST SERVICE
UTL,- UNABLE TO LOCATE (CANNOT FIND IT)
VC,- VEHICLE CODE
VEH,- VEHICLE
VICT,- VICTIM
VS,- VERSUS
VV,- VICTIM VEHICLE
W/,- WITH
WB,- WEST BOUND
WFA,- WHITE-FEMALE-ADULT
WFJ,- WHITE-FEMALE-JUVENILE
WHI,- WHITE
WIT,- WITNESS
WMA,- WHITE-MALE-ADULT
WMJ,- WHITE-MALE-JUVENILE
W/O,- WITHOUT
WW,- WRONG WAY
XFER,- TRANSFERRED
XRAY,- FEMALE
YOA,- YEARS OF AGE
